--------------------------------------------------------------------------------------------------------------------------------
+ Test Active Link              + Test Form                      3/12/2001  5:05:37 PM    Gain Focus; Lose Fo     0  Yes
AST:AST-OwnerProfile03          AST:Asset                        1/11/2001 10:36:01 PM    Button;                 3  Yes
AST:AST-OwnerProfile04          AST:Asset                        1/11/2001 10:36:01 PM    Button;                 4  Yes
AST:AST-OwnerProfile05          AST:Asset                        1/11/2001 10:36:01 PM    Button;                 5  Yes
AST:AST-OwnerProfile07          AST:Asset                        1/11/2001 10:36:01 PM    Button;                 7  Yes
AST:AST-OwnerProfile08          AST:Asset                        1/11/2001 10:36:01 PM    Button;                 8  Yes
AST:AST-OwnerProfile09          AST:Asset                        1/11/2001 10:36:01 PM    Button;                 9  Yes
AST:AST-OwnerProfile10          AST:Asset                        1/11/2001 10:36:01 PM    Button;                10  Yes
AST:AST-OwnerProfile11          AST:Asset                        1/11/2001 10:36:02 PM    Button;                11  Yes
AST:AST-PreventSetDeleted       AST:Asset                        1/11/2001 10:36:02 PM    Menu Choice; Return     1  Yes
AST:AST-PrintAssetDetails01     AST:Asset                        1/11/2001 10:36:02 PM    Button;                 1  Yes
AST:AST-PrintAssetDetails02     AST:Asset                        1/11/2001 10:36:02 PM    Button;                 2  Yes
AST:AST-PrintAssetDetails03     AST:Asset                        1/11/2001 10:36:02 PM    Button;                 3  Yes
AST:AST-RefreshCompTblOnFocus   AST:Asset                        1/11/2001 10:36:02 PM    Gain Focus;             0  Yes
AST:AST-RefreshSLATblOnFocus    AST:Asset                        1/11/2001 10:36:02 PM    Gain Focus;             0  Yes
AST:AST-RemoteControl01         AST:Asset                        1/11/2001 10:36:02 PM    Button;                 1  Yes
AST:AST-RemoteControl02         AST:Asset                        1/11/2001 10:36:02 PM    Button;                 1  Yes
AST:AST-ReportsMenuOption       AST:Asset                        1/11/2001 10:36:02 PM    Button;                 0  Yes
AST:AST-ReturnToInventory01     AST:Asset                        1/11/2001 10:36:02 PM    Button;                 1  Yes
AST:AST-ReturnToInventory02     AST:Asset                        1/11/2001 10:36:02 PM    Button;                 2  Yes
AST:AST-ReturnToInventory03     AST:Asset                        1/11/2001 10:36:02 PM    Button;                 3  Yes
AST:AST-SaveAssetAdd01          AST:Asset                        1/11/2001 10:36:02 PM    Button;                 1  Yes
AST:AST-SaveAssetAdd02          AST:Asset                        1/11/2001 10:36:02 PM    Button;                 2  Yes
AST:AST-SaveAssetAdd03          AST:Asset                        1/11/2001 10:36:02 PM    Button;                 3  Yes
AST:AST-SearchForInventory01    AST:Asset                        1/11/2001 10:36:02 PM    Button;                 1  Yes
AST:AST-SearchForInventory02    AST:Asset                        1/11/2001 10:36:02 PM    Button;                 2  Yes
AST:AST-SearchForInventory03    AST:Asset                        1/11/2001 10:36:02 PM    Button;                 3  Yes
AST:AST-SelectCategory          AST:Asset                        1/11/2001 10:36:02 PM    Menu Choice; Return     0  Yes
AST:AST-SelectRegion            AST:Asset                        1/11/2001 10:36:02 PM    Menu Choice; Return     0  Yes
AST:AST-SelectSite              AST:Asset                        1/11/2001 10:36:02 PM    Menu Choice; Return     0  Yes
AST:AST-SelectType              AST:Asset                        1/11/2001 10:36:02 PM    Menu Choice; Return     0  Yes
AST:AST-ShowCompDetailsForm01   AST:Asset                        1/11/2001 10:36:02 PM    Button;                 1  Yes
AST:AST-ShowCompDetailsForm02   AST:Asset                        1/11/2001 10:36:02 PM    Button;                 2  Yes
AST:AST-ShowCompDetailsForm03   AST:Asset                        1/11/2001 10:36:02 PM    Button;                 3  Yes
AST:AST-ShowCompOnSubOrQuery    AST:Asset                        1/11/2001 10:36:02 PM    After Modify; After     1  Yes
AST:AST-TableJoinNoAccess       AST:AST-TableJoin                1/11/2001 10:36:02 PM    Window Open;            0  Yes
AST:AST-ThirdPartyDataButton01  AST:Asset                        1/11/2001 10:36:02 PM    Display; Window Ope   999  Yes
AST:AST-ThirdPartyDataButton02  AST:Asset                        1/11/2001 10:36:02 PM    Display; Window Ope  1000  Yes
AST:AST-ThirdPartyDataButton03  AST:Asset                        1/11/2001 10:36:02 PM    Display; Window Ope  1000  Yes
AST:AST-UserProfile01           AST:Asset                        1/11/2001 10:36:02 PM    Button;                 1  Yes
AST:AST-UserProfile02           AST:Asset                        1/11/2001 10:36:02 PM    Button;                 2  Yes
AST:AST-UserProfile03           AST:Asset                        1/11/2001 10:36:02 PM    Button;                 3  Yes
AST:AST-UserProfile04           AST:Asset                        1/11/2001 10:36:02 PM    Button;                 4  Yes
AST:AST-UserProfile05           AST:Asset                        1/11/2001 10:36:03 PM    Button;                 5  Yes
AST:AST-UserProfile07           AST:Asset                        1/11/2001 10:36:03 PM    Button;                 7  Yes
AST:AST-UserProfile08           AST:Asset                        1/11/2001 10:36:03 PM    Button;                 8  Yes
AST:AST-UserProfile09           AST:Asset                        1/11/2001 10:36:03 PM    Button;                 9  Yes
AST:AST-UserProfile10           AST:Asset                        1/11/2001 10:36:03 PM    Button;                10  Yes
AST:AST-UserProfile11           AST:Asset                        1/11/2001 10:36:03 PM    Button;                11  Yes
AST:CMP-CheckCompID01           AST:Component                    1/11/2001 10:36:05 PM    Return;                 1  Yes
AST:CMP-CheckCompID02           AST:Component                    1/11/2001 10:36:05 PM    Return;                 2  Yes
AST:CMP-CheckCompID03           AST:Component                    1/11/2001 10:36:05 PM    Return;                 3  Yes
AST:CMP-CheckCompID04           AST:Component                    1/11/2001 10:36:05 PM    Return;                 4  Yes
AST:CMP-CheckCompID05           AST:Component                    1/11/2001 10:36:05 PM    Return;                 5  Yes
AST:CMP-CheckDuplicateID01      AST:Component                    1/11/2001 10:36:05 PM    Modify; Submit;         1  Yes
AST:CMP-CheckDuplicateID02      AST:Component                    1/11/2001 10:36:05 PM    Modify; Submit;         2  Yes
AST:CMP-CheckIfRequester        AST:Component                    1/11/2001 10:36:05 PM    Modify; Submit;         0  Yes
AST:CMP-CheckMainAssetID01      AST:Component                    1/11/2001 10:36:05 PM    Menu Choice;            1  Yes
AST:CMP-CheckMainAssetID02      AST:Component                    1/11/2001 10:36:05 PM    Menu Choice;            2  Yes
AST:CMP-CheckMainAssetID03      AST:Component                    1/11/2001 10:36:05 PM    Menu Choice;            3  Yes
AST:CMP-ChgFlagResetOpen        AST:Component                    1/11/2001 10:36:05 PM    Display; Window Ope   999  Yes
AST:CMP-CloseCompForm           AST:Component                    1/11/2001 10:36:05 PM    Button;                 1  Yes
AST:CMP-HideShowButtons01       AST:Component                    1/11/2001 10:36:05 PM    After Submit; Displ     1  Yes
AST:CMP-HideShowButtons02       AST:Component                    1/11/2001 10:36:05 PM    Display; Window Ope     2  Yes
AST:CMPINV-ClearSearchInv       AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 0  Yes
AST:CMPINV-CloseCompInvForm     AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 0  Yes
AST:CMPINV-EnableButtons01      AST:Components In Inventory      1/11/2001 10:36:04 PM    Gain Focus; Menu Ch     1  Yes
AST:CMPINV-EnableButtons02      AST:Components In Inventory      1/11/2001 10:36:04 PM    Menu Choice;            2  Yes
AST:CMPINV-EnableButtons03      AST:Components In Inventory      1/11/2001 10:36:04 PM    Menu Choice;            3  Yes
AST:CMPINV-LinkCompToAsset00    AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 0  Yes
AST:CMPINV-LinkCompToAsset01    AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 1  Yes
AST:CMPINV-LinkCompToAsset02    AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 2  Yes
AST:CMPINV-LinkCompToAsset03    AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 3  Yes
AST:CMPINV-LinkCompToAsset04    AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 4  Yes
AST:CMPINV-LinkCompToAsset05    AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 4  Yes
AST:CMPINV-OpenCompInvForm01    AST:Components In Inventory      1/11/2001 10:36:04 PM    Window Open;            0  Yes
AST:CMPINV-OpenCompInvForm02    AST:Components In Inventory      1/11/2001 10:36:04 PM    Window Open;            1  Yes
AST:CMPINV-SearchInventory01    AST:Components In Inventory      1/11/2001 10:36:04 PM    Query; Button;          3  Yes
AST:CMPINV-SearchInventory02    AST:Components In Inventory      1/11/2001 10:36:04 PM    Modify; Query; Butt     4  Yes
AST:CMPINV-SearchInventory03    AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 5  Yes
AST:CMPINV-SearchInventory04    AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 6  Yes
AST:CMPINV-SelectCategory       AST:Components In Inventory      1/11/2001 10:36:04 PM    Menu Choice; Return     0  Yes
AST:CMPINV-SelectType           AST:Components In Inventory      1/11/2001 10:36:04 PM    Menu Choice; Return     0  Yes
AST:CMPINV-ShowCompDetails01    AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 1  Yes
AST:CMPINV-ShowCompDetails02    AST:Components In Inventory      1/11/2001 10:36:04 PM    Button;                 2  Yes
AST:CMPINV-ShowCompDetails03    AST:Components In Inventory      1/11/2001 10:36:05 PM    Button;                 3  Yes
AST:CMP-MainAssetID01           AST:Component                    1/11/2001 10:36:05 PM    Return;                 1  Yes
AST:CMP-ModifyComp01            AST:Component                    1/11/2001 10:36:05 PM    Button;                 1  Yes
AST:CMP-ModifyComp02            AST:Component                    1/11/2001 10:36:05 PM    Button;                 2  Yes
AST:CMP-OpenComponentForm01     AST:Component                    1/11/2001 10:36:05 PM    Window Open;            1  Yes
AST:CMP-OpenComponentForm02     AST:Component                    1/11/2001 10:36:05 PM    Window Open;            2  Yes
AST:CMP-OpenComponentForm03     AST:Component                    1/11/2001 10:36:05 PM    After Submit; Windo     3  Yes
AST:CMP-OpenComponentForm04     AST:Component                    1/11/2001 10:36:05 PM    Window Open;            4  Yes
AST:CMP-PrintCompDetails01      AST:Component                    1/11/2001 10:36:05 PM    Button;                 1  Yes
AST:CMP-PrintCompDetails02      AST:Component                    1/11/2001 10:36:05 PM    Button;                 2  Yes
AST:CMP-PrintCompDetails03      AST:Component                    1/11/2001 10:36:05 PM    Button;                 3  Yes
AST:CMP-SaveCompAdd01           AST:Component                    1/11/2001 10:36:05 PM    Button;                 1  Yes
AST:CMP-SaveCompAdd02           AST:Component                    1/11/2001 10:36:05 PM    Button;                 2  Yes
AST:CMP-SaveCompAdd03           AST:Component                    1/11/2001 10:36:05 PM    Button;                 3  Yes
AST:CMP-SaveCompAdd04           AST:Component                    1/11/2001 10:36:05 PM    Button;                 4  Yes
AST:CMP-SelectCategory          AST:Component                    1/11/2001 10:36:06 PM    Menu Choice; Return     0  Yes
AST:CMP-SelectRegion            AST:Component                    1/11/2001 10:36:06 PM    Menu Choice; Return     0  Yes
AST:CMP-SelectSite              AST:Component                    1/11/2001 10:36:06 PM    Menu Choice; Return     0  Yes
AST:CMP-SelectType              AST:Component                    1/11/2001 10:36:06 PM    Menu Choice; Return     0  Yes
AST:CMP-Status01                AST:Component                    1/11/2001 10:36:06 PM    Menu Choice; Return     1  Yes
AST:CMP-Status02                AST:Component                    1/11/2001 10:36:06 PM    Return;                 2  Yes
AST:CMP-VerifyStatus01          AST:Component                    1/11/2001 10:36:06 PM    Modify; Submit;         1  Yes
AST:CMP-VerifyStatus02          AST:Component                    1/11/2001 10:36:06 PM    Modify; Submit;         2  Yes
AST:DA-BackToStart              AST:DeleteAssets                 1/11/2001 10:36:15 PM    Button;                 1  Yes
AST:DA-BackToStart2             AST:DeleteAssets                 1/11/2001 10:36:15 PM    Window Close;           2  Yes
AST:DA-ListDelete01             AST:DeleteAssets                 1/11/2001 10:36:15 PM    Button;                 1  Yes
AST:DA-ListDelete02             AST:DeleteAssets                 1/11/2001 10:36:15 PM    Button;                 2  Yes
AST:DA-ListDelete03             AST:DeleteAssets                 1/11/2001 10:36:15 PM    Button;                 3  Yes
AST:DA-UpdateStepsDone          AST:DeleteAssets                 1/11/2001 10:36:15 PM    Button;               910  Yes
AST:FM-BackToStart              AST:FieldMapping                 1/11/2001 10:36:10 PM    Button;                 1  Yes
AST:FM-CloseSubmit01            AST:FieldMapping                 1/11/2001 10:36:10 PM    After Submit;           1  Yes
AST:FM-DisableFields            AST:FieldMapping                 1/11/2001 10:36:10 PM    Display;                0  Yes
AST:FM-WarnMsg                  AST:FieldMapping                 1/11/2001 10:36:10 PM    Modify;                 0  Yes
AST:REC-BackToStart             AST:ReconcileAssets              1/11/2001 10:36:12 PM    Button;                 1  Yes
AST:REC-BackToStart2            AST:ReconcileAssets              1/11/2001 10:36:12 PM    Window Close;           2  Yes
AST:REC-ListInitPass01          AST:ReconcileAssets              1/11/2001 10:36:12 PM    Button;                 1  Yes
AST:REC-ListInitPass02          AST:ReconcileAssets              1/11/2001 10:36:12 PM    Button;                 2  Yes
AST:REC-ListManuals01           AST:ReconcileAssets              1/11/2001 10:36:12 PM    Button;                 1  Yes
AST:REC-ListManuals02           AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 2  Yes
AST:REC-ListSubPass01           AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 1  Yes
AST:REC-ListSubPass02           AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 2  Yes
AST:REC-MarkDelete              AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 0  Yes
AST:REC-MarkDelete1US           AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 1  Yes
AST:REC-PreventSubmission       AST:ReconcileAssets              1/11/2001 10:36:13 PM    Modify; Submit;         0  Yes
AST:REC-ReassignAssetInfo       AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 3  Yes
AST:REC-ReassignAssoc01         AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 1  Yes
AST:REC-ReassignAssoc02         AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 2  Yes
AST:REC-ReassignComponent01     AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 1  Yes
AST:REC-ReassignComponent02     AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 2  Yes
AST:REC-ReassignSchedi01        AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 1  No 
AST:REC-ReassignSchedi02        AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;                 2  No 
AST:REC-UpdateStepsDone         AST:ReconcileAssets              1/11/2001 10:36:13 PM    Button;               910  Yes
AST:SET-AddSettings01           AST:AppSettings                  1/11/2001 10:35:55 PM    Submit; Button;         1  Yes
AST:SET-AddSettings02           AST:AppSettings                  1/11/2001 10:35:56 PM    Button;                 2  Yes
AST:SET-AddSettings03           AST:AppSettings                  1/11/2001 10:35:56 PM    Submit; Button;         3  Yes
AST:SET-BackToStart             AST:AppSettings                  1/11/2001 10:35:56 PM    Button;                 1  Yes
AST:SET-BackToStart2            AST:AppSettings                  1/11/2001 10:35:56 PM    Window Close;           2  Yes
AST:SET-ModifySettings01        AST:AppSettings                  1/11/2001 10:35:56 PM    Modify; Button;         1  Yes
AST:SET-ModifySettings02        AST:AppSettings                  1/11/2001 10:35:56 PM    Button;                 2  Yes
AST:SET-ModifySettings03        AST:AppSettings                  1/11/2001 10:35:56 PM    Modify; Button;         3  Yes
AST:SET-ShowSettings1           AST:AppSettings                  1/11/2001 10:35:56 PM    Button;                 1  Yes
AST:SET-ShowSettings2           AST:AppSettings                  1/11/2001 10:35:56 PM    Button;                 2  Yes
AST:SET-ShowSettings3           AST:AppSettings                  1/11/2001 10:35:56 PM    Button;                 3  Yes
AST:SET-UpdateStepsDone         AST:AppSettings                  1/11/2001 10:35:56 PM    Button;               910  Yes
CHG:CHG-AssignGroup01           CHG:Change                       1/11/2001 10:36:50 PM    Return;                 1  Yes
CHG:CHG-AssignGroup02           CHG:Change                       1/11/2001 10:36:50 PM    Return;                 2  Yes
CHG:CHG-AssignGroup03           CHG:Change                       1/11/2001 10:36:50 PM    Return;                 3  Yes
CHG:CHG-AssignGroup04           CHG:Change                       1/11/2001 10:36:51 PM    Return;                 4  Yes
CHG:CHG-AssignGroup04a          CHG:Change                       1/11/2001 10:36:51 PM    Return;                 4  Yes
CHG:CHG-AssignGroup04b          CHG:Change                       1/11/2001 10:36:51 PM    Menu Choice;            4  Yes
CHG:CHG-AssignGroup05           CHG:Change                       1/11/2001 10:36:51 PM    Return;                 5  Yes
CHG:CHG-AssignInd01             CHG:Change                       1/11/2001 10:36:51 PM    Return;                 1  Yes
CHG:CHG-AssignInd02             CHG:Change                       1/11/2001 10:36:51 PM    Return;                 2  Yes
